Organismus;Alkkonz;Zeit (h);Replikat;Coverage (%)
Prototheca ;0;24;1;88,11062615
Prototheca ;0;24;2;83,43892498
Prototheca ;0;24;3;87,10866546
Prototheca ;0,25;24;1;89,46326985
Prototheca ;0,25;24;2;91,23530625
Prototheca ;0,25;24;3;82,54839759
Prototheca ;0,5;24;1;87,2727999
Prototheca ;0,5;24;2;84,37977944
Prototheca ;0,5;24;3;87,10980091
Prototheca ;0,75;24;1;86,36063953
Prototheca ;0,75;24;2;93,35415725
Prototheca ;0,75;24;3;90,77103276
Prototheca ;1;24;1;82,5409102
Prototheca ;1;24;2;85,53018218
Prototheca ;1;24;3;92,10662217
Prototheca ;2;24;1;72,2692529
Prototheca ;2;24;2;80,59541922
Prototheca ;2;24;3;85,76677703
Prototheca ;5;24;1;38,14618948
Prototheca ;5;24;2;33,69212867
Prototheca ;5;24;3;26,15007156
Prototheca ;10;24;1;6,530460317
Prototheca ;10;24;2;4,153537668
Prototheca ;10;24;3;3,914398504
Prototheca ;0;72;1;92,61151258
Prototheca ;0;72;2;93,01265391
Prototheca ;0;72;3;92,36987544
Prototheca ;0,25;72;1;93,3964615
Prototheca ;0,25;72;2;94,66779518
Prototheca ;0,25;72;3;90,26672713
Prototheca ;0,5;72;1;92,28848475
Prototheca ;0,5;72;2;95,47954068
Prototheca ;0,5;72;3;94,34526214
Prototheca ;0,75;72;1;93,26103154
Prototheca ;0,75;72;2;97,431868
Prototheca ;0,75;72;3;95,42034408
Prototheca ;1;72;1;95,41227526
Prototheca ;1;72;2;94,21377909
Prototheca ;1;72;3;96,23319851
Prototheca ;2;72;1;95,36964821
Prototheca ;2;72;2;91,81009151
Prototheca ;2;72;3;93,44834754
Prototheca ;5;72;1;26,41030971
Prototheca ;5;72;2;27,90678284
Prototheca ;5;72;3;24,87394958
Prototheca ;10;72;1;6,88077246
Prototheca ;10;72;2;4,979077729
Prototheca ;10;72;3;10,64680851
S. cerevisia;0;24;1;38,50341241
S. cerevisia;0;24;2;38,45341667
S. cerevisia;0;24;3;33,44138076
S. cerevisia;0,25;24;1;51,0862186
S. cerevisia;0,25;24;2;48,34395959
S. cerevisia;0,25;24;3;52,66528067
S. cerevisia;0,5;24;1;42,91750335
S. cerevisia;0,5;24;2;50,44897617
S. cerevisia;0,5;24;3;59,75331919
S. cerevisia;0,75;24;1;67,70555925
S. cerevisia;0,75;24;2;55,74640061
S. cerevisia;0,75;24;3;63,20514426
S. cerevisia;1;24;1;68,6008126
S. cerevisia;1;24;2;65,36530954
S. cerevisia;1;24;3;62,43867964
S. cerevisia;2;24;1;60,71413674
S. cerevisia;2;24;2;67,19048807
S. cerevisia;2;24;3;68,41094174
S. cerevisia;5;24;1;44,83575884
S. cerevisia;5;24;2;35,76366525
S. cerevisia;5;24;3;36,86172036
S. cerevisia;10;24;1;23,45975489
S. cerevisia;10;24;2;16,5589593
S. cerevisia;10;24;3;25,24804287
S. cerevisia;0;72;1;64,54094717
S. cerevisia;0;72;2;61,46479114
S. cerevisia;0;72;3;62,87295169
S. cerevisia;0,25;72;1;60,96386551
S. cerevisia;0,25;72;2;65,64050803
S. cerevisia;0,25;72;3;80,89495798
S. cerevisia;0,5;72;1;72,91114058
S. cerevisia;0,5;72;2;75,28189535
S. cerevisia;0,5;72;3;77,89473684
S. cerevisia;0,75;72;1;75,67929103
S. cerevisia;0,75;72;2;74,31944621
S. cerevisia;0,75;72;3;74,0957514
S. cerevisia;1;72;1;77,46242338
S. cerevisia;1;72;2;72,00305098
S. cerevisia;1;72;3;74,92324288
S. cerevisia;2;72;1;88,79751615
S. cerevisia;2;72;2;83,9201978
S. cerevisia;2;72;3;82,06587704
S. cerevisia;5;72;1;59,5507044
S. cerevisia;5;72;2;56,61570248
S. cerevisia;5;72;3;53,48896327
S. cerevisia;10;72;1;22,30665316
S. cerevisia;10;72;2;31,52802212
S. cerevisia;10;72;3;28,15407283
